Item Code,Item Name,Barcode,Cost,VAT.Rsp,GP.%,Qty,Category,Supplier,Brand
6035784,FOGG ROLL ON ELEGANCE 50ML,6291012244160,3.96,6.95,42.97%,-7,Mens Deodorants,FINE FAIR COMMERCIAL COMPLEX L.L.C,FOGG
6035786,HOMEWAY SPORTS SPACE CUP WATER BOTTLE 700ML,6291106791471,11.55,14.5,20.34%,9,BOTTLE,ETRONIX MIDDLE EAST GENERAL TRADING LLC (LIFE N RICH),HOMEWAY
6035787,HOMEWAY ADORABLE TRIP WATER BOTTLE 500ML,6291106791488,10.76,14.0007,23.13%,6,Plastic.Contanr,ETRONIX MIDDLE EAST GENERAL TRADING LLC (LIFE N RICH),HOMEWAY
6035789,HOMEWAY HW2703 OUTDOOR SPORTY W/ CLIP 770ML WATER BOTTLE,6291106791501,14.18,20.0,29.12%,1,WATER BOTTLE,ETRONIX MIDDLE EAST GENERAL TRADING LLC (LIFE N RICH),HOMEWAY
6035790,HOMEWAY DYNAMIC RHYTHM WATER BOTTLE650ML,6291106791518,12.08,15.95,24.29%,4,BOTTLE,ETRONIX MIDDLE EAST GENERAL TRADING LLC (LIFE N RICH),HOMEWAY
6035791,HOMEWAY HW2705 FLIP MAGIC WATER BOTTLE 650ML,6291106791525,14.43,17.95,19.63%,5,WATER BOTTLE,ETRONIX MIDDLE EAST GENERAL TRADING LLC (LIFE N RICH),HOMEWAY
6035800,BRITEMAX PLUNGER,6291106791303,11.81,14.4995,18.53%,4,PLASTIC KITCHEN ACCS,ETRONIX MIDDLE EAST GENERAL TRADING LLC (LIFE N RICH),BRITEMAX
6036102,AZCO PLASTIC MUG 1000,2362124500865,1.45,2.4999,42.04%,22,Mugs,ASCO HOUSEHOLD TRADING LLC,AZCO
6036699,ESSE CHANGE SUPER SLIM CIGARETTE,8801116005574,16.06,16.75,4.09%,17,CIGARETTE,AL WALI TRADING CO LLC,ESSE
6037174,ENCHANTEUR FASCINATING BODY MIST 150ML,8888202061249,8.09,9.95,18.74%,3,Body Spray & Deodorant,W.J. TOWELL &  Co. LLC,ENCHANTEUR
6037175,ENCHANTEUR GORGEOUS BODY MIST 150ML,8888202061577,8.14,10.5,22.50%,1,Body Spray & Deodorant,W.J. TOWELL &  Co. LLC,ENCHANTEUR
6037188,ROYALFORD 4PC(2KNIVES+SCISSOR+BOARD) RF6968,6294020005396,12.08,15.75,23.33%,5,Knifes,ROYALFORD GENERAL TRADING LLC,ROYALFORD
6037426,MEDIMIX SOAP-TURMERIC & ARGAN OIL125 GM,8904018303660,3.78,4.95,23.64%,17,Bath Soaps,NASMAT AL SABAH GENERAL TRADING LLC,MEDIMIX
6037427,VIGA 50000 & 84000 45ML,10603741527,6.51,25.0,75.20%,1,Other Health Care,BADSHA TRADING L.L.C,NO BRAND
6037551,MERIT  POCKET FILES-E303-6,6935221840842,9.98,15.75,36.67%,10,other general statio,FAMILY STATIONERY LLC,NO BRAND
6037677,GARNIER ULTRA DOUX HONEY TREASURES REP SHAMPOO 200 ML,3610340024238,10.08,11.9501,15.65%,4,Shampoo,ALPHAMED GENERAL TRADING LLC,GARNIER
6038407,MR WHITE WASHING POWDER 1KG,8902102125129,5.22,7.5,30.42%,2,Washing Powder Top Load,NASMAT AL SABAH GENERAL TRADING LLC,MR WHITE
6038474,GOOD BYE SPRAY AL INSECTS X 2+1 ROACHES  SPRAY FREE,8908005381044,17.52,19.95,12.19%,-1,Insecticides,DUTCH AND HABRO INTERNATIONAL,GOODBYE 
6038478,GEEPAS RECH LED EMERGNCY LANTRN GE5553,6294010886530,64.05,75.0,14.60%,8,Emergency Lamps,WESTERN INTERNATIONAL LLC,GEEPAS
6038503,CADBURY DAIRY MILK FRUIT & NUT 35GM,7622201510756,1.93,2.95,34.49%,155,Boxed Chocolate,TRANSMED OVERSEAS INCORPORATED S.A,CADBURY
6038528,KLF NIRMAL VIRGIN COCONUT OIL 200ML,8906002661381,10.72,12.75,15.91%,5,Coconut Oil,AL MAYA TRADING CO. LLC,KLF
6038529,KLF NIRMAL VIRGIN COCONUT OIL 400ML,8906002661435,19.58,22.95,14.67%,4,Coconut Oil,AL MAYA TRADING CO. LLC,KLF
